,,,दीघ निकाय,,,,
,,,,,,,
१,१,१,सीलक्खन्धवग्ग,ब्रह्मजालसुत्त,,,१: एक (पठम) १।५: दियड्ढ
२,१,२,,सामञ्ञफलसुत्त,,,"२: द्वि (दुतिय) २ ओर् ३: द्वत्ति। द्वीति २।५: अड्ढतेय्य, अड्ढतिय"
३,१,३,,अम्बट्ठसुत्त,,,"३: ति (ततिय) ३।५: अड्ढुड्ढ ३ ओर् ४: तिचतु, तेरो*"
४,१,४,,सोणदण्डसुत्त,,,"४: चतु, अट्ठड्ढ (चतुत्थ)"
५,१,५,,कूटदन्तसुत्त,,,५: पञ्च (पञ्चम)
६,१,६,,महालिसुत्त,,,६: छ (छट्ठ)
७,१,७,,जालियसुत्त,,,७: सत्त (सत्तम)
८,१,८,,महासीहनादसुत्त,,,८: अट्ठ (अट्ठम)
९,१,९,,पोट्ठपादसुत्त,,,९: नव (नवम)
१०,१,१०,,सुभसुत्त,,,१०: दस (दसम)
११,२,११,,केवट्टसुत्त,,,"११: एकादस, एकारस"
१२,२,१२,,लोहिच्चसुत्त,,,"१२: द्वादस, दुवादस, बारस १२।५: अड्ढतेलस"
१३,२,१३,,तेविज्जसुत्त,,,"१३: तेरस, तेलस"
१४,२,१,महावग्ग,महापदानसुत्त,,,"१४: चतुद्दस, चुद्दस, चोद्दस"
१५,२,२,,महानिदानसुत्त,,,"१५: पञ्चदस, पण्णरस"
१६,२,३,,महापरिनिब्बानसुत्त,,,"१६: सोळस, सोरस"
१७,२,४,,महासुदस्सनसुत्त,,,"१७: सत्तदस, सत्तरस"
१८,२,५,,जनवसभसुत्त,,,"१८: अट्ठादस, अट्ठारस"
१९,२,६,,महागोविन्दसुत्त,,,१९: एकूनवीसति
२०,२,७,,महासमयसुत्त,,,"२०: वीसति, वीस, वीसा"
२१,२,८,,सक्कपञ्हसुत्त,,,२१: एकवीसति
२२,२,९,,महासतिपट्ठानसुत्त,,,"२२: द्वावीसति, द्वेवीसति, बावीसति, बावीस"
२३,२,१०,,पायासिसुत्त,,,"२३: तेवीसति, तेवीस"
२४,३,१,पाथिकवग्ग,पाथिकसुत्त,,,"२४: चतुवीसति, चतुवीस, चतुबीसतै"
२५,३,२,,उदुम्बरिकसुत्त,,,"२५: पञ्चवीसति, पण्णवीसति"
२६,३,३,,चक्कवत्तिसुत्त,,,२६: छब्बीसति
२७,३,४,,अग्गञ्ञसुत्त,,,२७: सत्तवीसति
२८,३,५,,सम्पसादनीयसुत्त,,,२८: अट्ठवीसति
२९,३,६,,पासादिकसुत्त,,,२९: एकूनतिंसति
३०,३,७,,लक्खणसुत्त,,,"३०: तिंसति , तिंस, तिंसा, तिंसं, समतिंस"
३१,३,८,,सिङ्गालसुत्त,,,३१: एकतिंसति
३२,३,९,,आटानाटियसुत्त,,,"३२: द्वत्तिंसति, द्वत्तिंस, बत्तिंसति"
३३,३,१०,,सङ्गीतिसुत्त,,,"३३: तेत्तिंसति, तेत्तिंस"
३४,३,११,,दसुत्तरसुत्त,,,३४: चतुत्तिंसति
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,४,१६९,,,,,
,१,३५,,,,,
,६,२१०,३७९,,,,
